BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
1486.230000          0.370000             2.086304             2.086304             2.086304             1.212677             1.444404             0.000000            
1486.220000          0.380000             4.036664             2.018332             4.036664             2.346336             2.009145             0.000000            
1486.210000          0.390000             2.020648             2.020648             2.020648             1.174514             1.421495             0.000000            
1486.200000          0.400000             4.071997             2.035999             4.071997             2.366874             2.017919             0.000000            
1486.190000          0.410000             6.163472             2.054491             6.163472             3.582557             2.482634             0.000000            
1486.180000          0.420000             2.062051             2.062051             2.062051             1.198580             1.435984             0.000000            
1486.170000          0.430000             4.167319             2.083660             4.167319             2.422280             2.041401             0.000000            
1486.160000          0.440000             2.098200             2.098200             2.098200             1.219592             1.448516             0.000000            
1486.150000          0.450000             4.223355             2.111677             4.223355             2.454851             2.055080             0.000000            
1486.140000          0.460000             0.000000             1.784938             0.000000             0.000000             0.000000             0.000000            
1486.130000          0.470000             3.188784             1.594392             3.188784             1.853500             1.785717             0.000000            
1486.120000          0.480000             3.098551             1.549275             3.098551             1.801052             1.760270             0.000000            
1486.110000          0.490000             0.000000             1.551778             0.000000             0.000000             0.000000             0.000000            
1486.100000          0.500000             1.564298             1.564298             1.564298             0.909258             1.250719             0.000000            
1486.090000          0.510000             4.740971             1.580324             4.740971             2.755719             2.177377             0.000000            
1486.080000          0.520000             1.587207             1.587207             1.587207             0.922574             1.259844             0.000000            
1486.070000          0.530000             0.000000             1.658323             0.000000             0.000000             0.000000             0.000000            
1486.060000          0.540000             3.514370             1.757185             3.514370             2.042750             1.874665             0.000000            
1486.050000          0.550000             0.000000             2.111677             0.000000             0.000000             0.000000             0.000000            
1486.040000          0.560000             3.569876             1.784938             3.569876             2.075013             1.889412             0.000000            
1486.030000          0.570000             1.594392             1.594392             1.594392             0.926750             1.262692             0.000000            
1486.020000          0.580000             4.647826             1.549275             4.647826             2.701578             2.155882             0.000000            
1486.010000          0.590000             3.103556             1.551778             3.103556             1.803961             1.761691             0.000000            
1486.000000          0.600000             1.564298             1.564298             1.564298             0.909258             1.250719             0.000000            
1485.990000          0.610000             3.160647             1.580324             3.160647             1.837146             1.777821             0.000000            
1485.980000          0.620000             3.174415             1.587207             3.174415             1.845148             1.781689             0.000000            
1485.970000          0.630000             0.000000             1.658323             0.000000             0.000000             0.000000             0.000000            
1485.960000          0.640000             0.000000             1.757185             0.000000             0.000000             0.000000             0.000000            
1485.950000          0.650000             2.111677             2.111677             2.111677             1.227426             1.453161             0.000000            
1485.940000          0.660000             3.773762             1.886881             3.773762             2.193523             1.942617             0.000000            
1485.930000          0.670000             1.753208             1.753208             1.753208             1.019063             1.324088             0.000000            
1485.920000          0.680000             5.169764             1.723255             5.169764             3.004957             2.273711             0.000000            
1485.910000          0.690000             0.000000             1.727099             0.000000             0.000000             0.000000             0.000000            
1485.900000          0.700000             3.484939             1.742470             3.484939             2.025642             1.866799             0.000000            
1485.890000          0.710000             1.760813             1.760813             1.760813             1.023483             1.326956             0.000000            
1485.880000          0.720000             5.310672             1.770224             5.310672             3.086861             2.304490             0.000000            
1485.870000          0.730000             1.854037             1.854037             1.854037             1.077670             1.361630             0.000000            
1485.860000          0.740000             0.000000             1.972885             0.000000             0.000000             0.000000             0.000000            
1485.840000          0.760000             4.011513             2.005756             4.011513             2.331716             2.002876             0.000000            
1485.830000          0.770000             0.000000             1.778833             0.000000             0.000000             0.000000             0.000000            
1485.820000          0.780000             0.000000             1.724460             0.000000             0.000000             0.000000             0.000000            
1485.810000          0.790000             5.183988             1.727996             5.183988             3.013225             2.276837             0.000000            
1485.800000          0.800000             0.000000             1.741968             0.000000             0.000000             0.000000             0.000000            
1485.790000          0.810000             3.521067             1.760533             3.521067             2.046642             1.876451             0.000000            
1485.780000          0.820000             3.537344             1.768672             3.537344             2.056103             1.880783             0.000000            
1485.770000          0.830000             1.851768             1.851768             1.851768             1.076351             1.360797             0.000000            
1485.760000          0.840000             3.938183             1.969092             3.938183             2.289093             1.984486             0.000000            
1485.740000          0.860000             2.001054             2.001054             2.001054             1.163125             1.414586             0.000000            
1485.730000          0.870000             5.320009             1.773336             5.320009             3.092288             2.306515             0.000000            
1485.720000          0.880000             0.000000             1.719560             0.000000             0.000000             0.000000             0.000000            
1485.710000          0.890000             5.166420             1.722140             5.166420             3.003014             2.272976             0.000000            
1485.700000          0.900000             3.471763             1.735881             3.471763             2.017984             1.863267             0.000000            
1485.690000          0.910000             1.753854             1.753854             1.753854             1.019439             1.324332             0.000000            
1485.680000          0.920000             0.000000             1.760953             0.000000             0.000000             0.000000             0.000000            
1485.670000          0.930000             0.000000             1.843512             0.000000             0.000000             0.000000             0.000000            
1485.660000          0.940000             3.917788             1.958894             3.917788             2.277238             1.979340             0.000000            
1485.640000          0.960000             1.989868             1.989868             1.989868             1.156623             1.410627             0.000000            
1485.630000          0.970000             0.000000             1.764219             0.000000             0.000000             0.000000             0.000000            
1485.620000          0.980000             3.421533             1.710766             3.421533             1.988787             1.849739             0.000000            
1485.610000          0.990000             3.426816             1.713408             3.426816             1.991858             1.851166             0.000000            
1485.600000          1.000000             1.726159             1.726159             1.726159             1.003341             1.313834             0.000000            
1485.590000          1.010000             1.744204             1.744204             1.744204             1.013830             1.320683             0.000000            
1485.580000          1.020000             1.750948             1.750948             1.750948             1.017749             1.323234             0.000000            
1485.570000          1.030000             0.000000             1.832853             0.000000             0.000000             0.000000             0.000000            
1485.560000          1.040000             7.784267             1.946067             7.784267             4.524653             2.790030             0.000000            
1485.540000          1.060000             0.000000             1.976810             0.000000             0.000000             0.000000             0.000000            
1485.530000          1.070000             1.753854             1.753854             1.753854             1.019439             1.324332             0.000000            
1485.520000          1.080000             3.402732             1.701366             3.402732             1.977859             1.844650             0.000000            
1485.510000          1.090000             1.703543             1.703543             1.703543             0.990195             1.305198             0.000000            
1485.500000          1.100000             0.000000             1.716943             0.000000             0.000000             0.000000             0.000000            
1485.490000          1.110000             3.468597             1.734299             3.468597             2.016144             1.862417             0.000000            
1485.480000          1.120000             3.482478             1.741239             3.482478             2.024212             1.866140             0.000000            
1485.470000          1.130000             3.643736             1.821868             3.643736             2.117944             1.908857             0.000000            
1485.460000          1.140000             3.869285             1.934643             3.869285             2.249046             1.967050             0.000000            
1485.440000          1.160000             6.249610             2.083203             6.249610             3.632624             2.499922             0.000000            
1485.430000          1.170000             5.783021             1.927674             5.783021             3.361417             2.404791             0.000000            
1485.420000          1.180000             1.891868             1.891868             1.891868             1.099660             1.375452             0.000000            
1485.410000          1.190000             1.895399             1.895399             1.895399             1.101712             1.376735             0.000000            
1485.400000          1.200000             1.912783             1.912783             1.912783             1.111817             1.383034             0.000000            
1485.390000          1.210000             5.795775             1.931925             5.795775             3.368830             2.407442             0.000000            
1485.380000          1.220000             0.000000             1.942583             0.000000             0.000000             0.000000             0.000000            
1485.370000          1.230000             6.110285             2.036762             6.110285             3.551641             2.471899             0.000000            
1485.360000          1.240000             4.346532             2.173266             4.346532             2.526449             2.084834             0.000000            
1485.330000          1.270000             0.000000             2.163245             0.000000             0.000000             0.000000             0.000000            
1485.320000          1.280000             4.240424             2.120212             4.240424             2.464773             2.059229             0.000000            
1485.310000          1.290000             4.251514             2.125757             4.251514             2.471219             2.061920             0.000000            
1485.300000          1.300000             6.433664             2.144555             6.433664             3.739607             2.536467             0.000000            
1485.290000          1.310000             2.167302             2.167302             2.167302             1.259757             1.472176             0.000000            
1485.280000          1.320000             2.179242             2.179242             2.179242             1.266698             1.476226             0.000000            
1485.270000          1.330000             4.522229             2.261114             4.522229             2.628573             2.126553             0.000000            
1485.240000          1.360000             6.795021             2.265007             6.795021             3.949648             2.606726             0.000000            
1485.230000          1.370000             3.981635             1.990818             3.981635             2.314350             1.995404             0.000000            
1485.220000          1.380000             0.000000             1.925396             0.000000             0.000000             0.000000             0.000000            
