KE_eV	hits_counts
0.000000	2.666667
0.100000	5.333333
0.200000	5.666667
0.300000	4.000000
0.400000	2.333333
0.500000	5.000000
0.600000	4.000000
0.700000	4.000000
0.800000	5.333333
0.900000	3.333333
1.000000	7.000000
1.100000	7.000000
1.200000	5.333333
1.300000	3.666667
1.400000	4.000000
1.500000	7.000000
1.600000	5.000000
1.700000	4.000000
1.800000	7.000000
1.900000	5.666667
2.000000	9.000000
2.100000	7.666667
2.200000	9.666667
2.300000	11.333333
2.400000	9.666667
2.500000	8.000000
2.600000	11.333333
2.700000	12.666667
2.800000	11.666667
2.900000	21.666667
3.000000	21.666667
3.100000	30.000000
3.200000	46.000000
3.300000	98.666667
3.400000	181.333333
3.500000	370.000000
3.600000	679.333333
3.700000	815.333333
3.800000	896.666667
3.900000	935.666667
4.000000	877.666667
4.100000	842.666667
4.200000	853.666667
4.300000	856.666667
4.400000	1088.333333
4.500000	1063.333333
4.600000	927.000000
4.700000	864.333333
4.800000	797.000000
4.900000	746.666667
5.000000	688.333333
5.100000	608.666667
5.200000	557.000000
5.300000	533.000000
5.400000	455.000000
5.500000	411.666667
5.600000	393.333333
5.700000	346.000000
5.800000	306.333333
5.900000	260.666667
6.000000	254.666667
6.100000	237.000000
6.200000	206.000000
6.300000	204.666667
6.400000	174.666667
6.500000	178.666667
6.600000	151.000000
6.700000	139.000000
6.800000	133.000000
6.900000	122.000000
7.000000	102.666667
7.100000	98.666667
7.200000	96.666667
7.300000	77.333333
7.400000	77.000000
7.500000	70.333333
7.600000	71.666667
7.700000	55.666667
7.800000	61.666667
7.900000	50.000000
8.000000	52.333333
8.100000	44.333333
8.200000	42.666667
8.300000	35.666667
8.400000	28.000000
8.500000	38.333333
8.600000	31.333333
8.700000	28.000000
8.800000	35.000000
8.900000	29.333333
9.000000	25.666667
9.100000	25.666667
9.200000	24.333333
9.300000	17.333333
9.400000	19.333333
9.500000	19.666667
9.600000	17.333333
9.700000	12.666667
9.800000	21.000000
9.900000	12.333333
10.000000	13.333333
10.100000	16.666667
10.200000	11.333333
10.300000	10.000000
10.400000	13.666667
10.500000	3.666667
10.600000	9.000000
10.700000	10.333333
10.800000	9.000000
10.900000	9.333333
11.000000	6.000000
11.100000	4.000000
11.200000	6.666667
11.300000	5.333333
11.400000	5.000000
11.500000	7.000000
11.600000	5.333333
11.700000	5.666667
11.800000	5.000000
11.900000	4.333333
12.000000	4.666667
12.100000	4.666667
12.200000	5.000000
12.300000	4.000000
12.400000	1.333333
12.500000	3.000000
12.600000	5.000000
12.700000	3.666667
12.800000	2.666667
12.900000	2.333333
13.000000	2.666667
13.100000	2.333333
13.200000	3.333333
13.300000	2.666667
13.400000	2.000000
13.500000	2.666667
13.600000	2.000000
13.700000	1.666667
13.800000	2.666667
13.900000	1.666667
14.000000	0.666667
14.100000	1.333333
14.200000	3.333333
14.300000	1.333333
14.400000	2.333333
14.500000	2.333333
14.600000	0.333333
14.700000	2.666667
14.800000	1.333333
14.900000	1.000000
15.000000	0.333333
15.100000	1.333333
15.200000	1.333333
15.300000	1.000000
15.400000	1.666667
15.500000	1.333333
15.600000	0.666667
15.700000	2.000000
15.800000	0.666667
15.900000	0.666667
16.000000	0.666667
