BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
19.860000            1.360000             285.897754           40.842536            285.897754           8.577775             16.908511            0.000000            
19.858000            1.362000             406.975072           31.305775            406.975072           12.210451            20.173623            0.000000            
19.856000            1.364000             464.422668           30.961511            464.422668           13.934049            21.550468            0.000000            
19.854000            1.366000             369.832627           30.819386            369.832627           11.096069            19.231033            0.000000            
19.852000            1.368000             279.745192           31.082799            279.745192           8.393180             16.725585            0.000000            
19.850000            1.370000             341.181770           31.016525            341.181770           10.236458            18.471106            0.000000            
19.848000            1.372000             311.604784           31.160478            311.604784           9.349062             17.652331            0.000000            
19.846000            1.374000             281.751973           31.305775            281.751973           8.453389             16.785469            0.000000            
19.844000            1.376000             405.520550           31.193888            405.520550           12.166812            20.137541            0.000000            
19.842000            1.378000             220.644095           31.520585            220.644095           6.619973             14.854094            0.000000            
19.840000            1.380000             282.055476           31.339497            282.055476           8.462495             16.794507            0.000000            
19.838000            1.382000             283.480512           31.497835            283.480512           8.505251             16.836880            0.000000            
19.836000            1.384000             540.731961           31.807762            540.731961           16.223552            23.253644            0.000000            
19.834000            1.386000             253.630222           31.703778            253.630222           7.609654             15.925772            0.000000            
19.832000            1.388000             384.072607           32.006051            384.072607           11.523310            19.597770            0.000000            
19.830000            1.390000             191.614709           31.935785            191.614709           5.749006             13.842496            0.000000            
19.828000            1.392000             192.743099           32.123850            192.743099           5.782861             13.883195            0.000000            
19.826000            1.394000             324.342252           32.434225            324.342252           9.731223             18.009504            0.000000            
19.824000            1.396000             193.098451           32.183075            193.098451           5.793523             13.895987            0.000000            
19.822000            1.398000             326.893258           32.689326            326.893258           9.807761             18.080190            0.000000            
19.820000            1.400000             327.875657           32.787566            327.875657           9.837236             18.107337            0.000000            
19.818000            1.402000             490.156308           32.677087            490.156308           14.706134            22.139474            0.000000            
19.816000            1.404000             199.422315           33.237053            199.422315           5.983257             14.121697            0.000000            
19.814000            1.406000             263.091183           32.886398            263.091183           7.893511             16.220086            0.000000            
19.812000            1.408000             234.985962           33.569423            234.985962           7.050271             15.329252            0.000000            
19.810000            1.410000             266.708938           33.338617            266.708938           8.002054             16.331226            0.000000            
19.808000            1.412000             474.166473           33.869034            474.166473           14.226391            21.775364            0.000000            
19.806000            1.414000             303.408459           33.712051            303.408459           9.103148             17.418624            0.000000            
19.804000            1.416000             205.607774           34.267962            205.607774           6.168839             14.339030            0.000000            
19.802000            1.418000             136.482408           34.120602            136.482408           4.094874             11.682569            0.000000            
19.800000            1.420000             34.676400            34.676400            34.676400            1.040394             5.888667             0.000000            
19.798000            1.422000             34.484591            34.484591            34.484591            1.034639             5.872358             0.000000            
19.796000            1.424000             0.000000             34.996191            0.000000             0.000000             0.000000             0.000000            
19.794000            1.426000             35.052410            35.052410            35.052410            1.051676             5.920508             0.000000            
19.792000            1.428000             141.516822           35.379206            141.516822           4.245922             11.896084            0.000000            
19.790000            1.430000             35.523199            35.523199            35.523199            1.065801             5.960134             0.000000            
19.788000            1.432000             71.570726            35.785363            71.570726            2.147333             8.459948             0.000000            
19.786000            1.434000             72.222176            36.111088            72.222176            2.166878             8.498363             0.000000            
19.784000            1.436000             36.066322            36.066322            36.066322            1.082096             6.005524             0.000000            
19.782000            1.438000             0.000000             36.595597            0.000000             0.000000             0.000000             0.000000            
19.780000            1.440000             36.920685            36.920685            36.920685            1.107729             6.076239             0.000000            
19.778000            1.442000             36.905074            36.905074            36.905074            1.107261             6.074955             0.000000            
19.776000            1.444000             37.124840            37.124840            37.124840            1.113855             6.093016             0.000000            
19.774000            1.446000             112.571582           37.523861            112.571582           3.377479             10.609976            0.000000            
19.772000            1.448000             0.000000             37.997606            0.000000             0.000000             0.000000             0.000000            
19.770000            1.450000             0.000000             38.113755            0.000000             0.000000             0.000000             0.000000            
19.768000            1.452000             38.230618            38.230618            38.230618            1.147031             6.183091             0.000000            
19.766000            1.454000             38.517432            38.517432            38.517432            1.155636             6.206241             0.000000            
19.764000            1.456000             0.000000             38.808582            0.000000             0.000000             0.000000             0.000000            
19.762000            1.458000             79.708219            26.569406            79.708219            2.391481             8.927946             0.000000            
19.760000            1.460000             291.046941           22.388226            291.046941           8.732266             17.060098            0.000000            
19.758000            1.462000             509.552711           19.598181            509.552711           15.288083            22.573274            0.000000            
19.756000            1.464000             619.230223           30.961511            619.230223           18.578731            24.884337            0.000000            
19.754000            1.466000             770.484640           30.819386            770.484640           23.116810            27.757605            0.000000            
19.752000            1.468000             745.987179           31.082799            745.987179           22.381814            27.312766            0.000000            
19.750000            1.470000             651.347015           31.016525            651.347015           19.542330            25.521501            0.000000            
19.748000            1.472000             747.851482           31.160478            747.851482           22.437748            27.346873            0.000000            
19.746000            1.474000             688.727044           31.305775            688.727044           20.663841            26.243610            0.000000            
19.744000            1.476000             748.653324           31.193888            748.653324           22.461806            27.361530            0.000000            
19.742000            1.478000             693.452871           31.520585            693.452871           20.805630            26.333493            0.000000            
19.740000            1.480000             814.826930           31.339497            814.826930           24.447209            28.545173            0.000000            
19.738000            1.482000             881.939372           31.497835            881.939372           26.460780            29.697464            0.000000            
19.736000            1.484000             1145.079446          31.807762            1145.079446          34.355758            33.839023            0.000000            
19.734000            1.486000             570.667999           31.703778            570.667999           17.121722            23.888658            0.000000            
19.732000            1.488000             576.108911           32.006051            576.108911           17.284965            24.002269            0.000000            
19.730000            1.490000             734.523052           31.935785            734.523052           22.037856            27.102086            0.000000            
19.728000            1.492000             835.220096           32.123850            835.220096           25.059064            28.900175            0.000000            
19.726000            1.494000             518.947603           32.434225            518.947603           15.569957            22.780421            0.000000            
19.724000            1.496000             933.309181           32.183075            933.309181           28.002026            30.550109            0.000000            
19.722000            1.498000             915.301124           32.689326            915.301124           27.461731            30.253944            0.000000            
19.720000            1.500000             524.601052           32.787566            524.601052           15.739577            22.904171            0.000000            
19.718000            1.502000             882.281355           32.677087            882.281355           26.471041            29.703221            0.000000            
19.716000            1.504000             697.978104           33.237053            697.978104           20.941400            26.419275            0.000000            
19.714000            1.506000             756.387151           32.886398            756.387151           22.693843            27.502494            0.000000            
