BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
40.875000            -0.065000            32066.488294         1187.647715          32066.488294         62.424841            179.071182           0.000000            
40.870000            -0.060000            39972.739965         929.598604           39972.739965         77.816189            199.931838           0.000000            
40.865000            -0.055000            35940.726644         921.557093           35940.726644         69.966942            189.580396           0.000000            
40.860000            -0.050000            30241.341935         916.404301           30241.341935         58.871771            173.900379           0.000000            
40.855000            -0.045000            39626.955017         921.557093           39626.955017         77.143039            199.065203           0.000000            
40.850000            -0.040000            39169.525438         910.919196           39169.525438         76.252546            197.912924           0.000000            
40.845000            -0.035000            35724.402408         916.010318           35724.402408         69.545817            189.009001           0.000000            
40.840000            -0.030000            39186.278871         911.308811           39186.278871         76.285161            197.955245           0.000000            
40.835000            -0.025000            45526.495726         910.529915           45526.495726         88.627860            213.369388           0.000000            
40.830000            -0.020000            36577.510730         914.437768           36577.510730         71.206590            191.252479           0.000000            
40.825000            -0.015000            37315.779581         910.140965           37315.779581         72.643801            193.172927           0.000000            
40.820000            -0.010000            40426.114705         918.775334           40426.114705         78.698788            201.062465           0.000000            
40.815000            -0.005000            31977.873070         913.653516           31977.873070         62.252331            178.823581           0.000000            
40.810000            0.000000             34988.902334         920.760588           34988.902334         68.113996            187.053207           0.000000            
40.805000            0.005000             30490.511709         923.954900           30490.511709         59.356837            174.615325           0.000000            
40.800000            0.010000             31414.466609         923.954900           31414.466609         61.155530            177.241267           0.000000            
40.795000            0.015000             28943.838738         933.672217           28943.838738         56.345881            170.128889           0.000000            
40.790000            0.020000             39369.502860         937.369116           39369.502860         76.641849            198.417496           0.000000            
40.785000            0.025000             27243.633157         939.435626           27243.633157         53.036037            165.056454           0.000000            
40.780000            0.030000             38790.515098         946.110124           38790.515098         75.514715            196.953078           0.000000            
40.775000            0.035000             36388.458427         957.591011           36388.458427         70.838556            190.757591           0.000000            
40.770000            0.040000             38581.077411         964.526935           38581.077411         75.106996            196.420664           0.000000            
40.765000            0.045000             41625.406633         968.032712           41625.406633         81.033487            204.023054           0.000000            
40.760000            0.050000             43981.100917         977.357798           43981.100917         85.619391            209.716716           0.000000            
40.755000            0.055000             31535.837188         985.494912           31535.837188         61.391805            177.583325           0.000000            
40.750000            0.060000             33835.478748         995.161140           33835.478748         65.868590            183.944227           0.000000            
40.745000            0.065000             40181.801037         1004.545026          40181.801037         78.223175            200.453987           0.000000            
40.740000            0.070000             32513.342871         1016.041965          32513.342871         63.294746            180.314566           0.000000            
40.735000            0.075000             31648.222329         1020.910398          31648.222329         61.610589            177.899473           0.000000            
40.730000            0.080000             31985.394673         1031.786925          31985.394673         62.266973            178.844610           0.000000            
40.725000            0.085000             29373.668144         1049.059577          29373.668144         57.182643            171.387480           0.000000            
40.720000            0.090000             29680.557214         1060.019900          29680.557214         57.780074            172.280461           0.000000            
40.715000            0.095000             29769.421158         1063.193613          29769.421158         57.953068            172.538173           0.000000            
40.710000            0.100000             34715.112016         1084.847251          34715.112016         67.581000            186.319918           0.000000            
40.705000            0.105000             38203.073770         1091.516393          38203.073770         74.371124            195.456066           0.000000            
40.700000            0.110000             28777.475325         1106.825974          28777.475325         56.022016            169.639251           0.000000            
40.695000            0.115000             22298.691784         1114.934589          22298.691784         43.409564            149.327465           0.000000            
40.690000            0.120000             45502.189002         1137.554725          45502.189002         88.580541            213.312421           0.000000            
40.685000            0.125000             26247.841457         1141.210498          26247.841457         51.097498            162.011856           0.000000            
40.680000            0.130000             13297.321171         511.435430           13297.321171         25.886313            115.314011           0.000000            
40.675000            0.135000             21590.327596         295.757912           21590.327596         42.030569            146.936475           0.000000            
40.670000            0.140000             22677.474920         260.660631           22677.474920         44.146953            150.590421           0.000000            
40.665000            0.145000             23957.330726         260.405769           23957.330726         46.638489            154.781558           0.000000            
40.660000            0.150000             21922.312592         260.979912           21922.312592         42.676855            148.061854           0.000000            
40.655000            0.155000             19221.047949         263.302027           19221.047949         37.418218            138.639994           0.000000            
40.650000            0.160000             23925.004936         262.912142           23925.004936         46.575559            154.677099           0.000000            
40.645000            0.165000             19885.266302         265.136884           19885.266302         38.711273            141.015128           0.000000            
40.640000            0.170000             15678.194063         265.732103           15678.194063         30.521233            125.212595           0.000000            
40.635000            0.175000             19757.814536         266.997494           19757.814536         38.463159            140.562493           0.000000            
40.630000            0.180000             19574.215958         268.139945           19574.215958         38.105741            139.907884           0.000000            
40.625000            0.185000             17217.292929         269.020202           17217.292929         33.517445            131.214683           0.000000            
40.620000            0.190000             16892.542199         272.460358           16892.542199         32.885243            129.971313           0.000000            
40.615000            0.195000             14455.186892         272.739375           14455.186892         28.140367            120.229725           0.000000            
40.610000            0.200000             18377.044284         274.284243           18377.044284         35.775170            135.561957           0.000000            
40.605000            0.205000             17196.001041         277.354856           17196.001041         33.475996            131.133524           0.000000            
40.600000            0.210000             14707.465486         277.499349           14707.465486         28.631485            121.274340           0.000000            
40.595000            0.215000             18867.681734         281.607190           18867.681734         36.730309            137.359680           0.000000            
40.590000            0.220000             22594.273595         282.428420           22594.273595         43.984983            150.313917           0.000000            
40.585000            0.225000             20267.341908         285.455520           20267.341908         39.455071            142.363415           0.000000            
40.580000            0.230000             14036.214036         286.453348           14036.214036         27.324739            118.474529           0.000000            
40.575000            0.235000             16000.163845         290.912070           16000.163845         31.148022            126.491754           0.000000            
