BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
21.370000            -0.150000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.368000            -0.148000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.366000            -0.146000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.364000            -0.144000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.362000            -0.142000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.360000            -0.140000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.358000            -0.138000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.356000            -0.136000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.354000            -0.134000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.352000            -0.132000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.350000            -0.130000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.348000            -0.128000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.346000            -0.126000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.344000            -0.124000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.342000            -0.122000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.340000            -0.120000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.338000            -0.118000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.336000            -0.116000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.334000            -0.114000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.332000            -0.112000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.330000            -0.110000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.328000            -0.108000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.326000            -0.106000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.324000            -0.104000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.322000            -0.102000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.320000            -0.100000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.318000            -0.098000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.316000            -0.096000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.314000            -0.094000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.312000            -0.092000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.310000            -0.090000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.308000            -0.088000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
21.306000            -0.086000            NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
