KE_eV	hits_counts
7.000000	96697.000000
7.100000	87458.000000
7.200000	75738.000000
7.300000	70272.000000
7.400000	67347.000000
7.500000	59157.000000
7.600000	55453.000000
7.700000	49966.000000
7.800000	46164.000000
7.900000	44773.000000
8.000000	41549.000000
8.100000	40291.000000
8.200000	37635.000000
8.300000	36221.000000
8.400000	35454.000000
8.500000	34420.000000
8.600000	33831.000000
8.700000	32913.000000
8.800000	32328.000000
8.900000	31797.000000
9.000000	30991.000000
9.100000	30827.000000
9.200000	30067.000000
9.300000	29940.000000
9.400000	29198.000000
9.500000	28471.000000
9.600000	28125.000000
9.700000	27017.000000
9.800000	26662.000000
9.900000	25417.000000
10.000000	25125.000000
10.100000	23841.000000
10.200000	23161.000000
10.300000	22653.000000
10.400000	21888.000000
10.500000	21429.000000
10.600000	19845.000000
10.700000	19352.000000
10.800000	18458.000000
10.900000	18167.000000
11.000000	18023.000000
11.100000	17153.000000
11.200000	16998.000000
11.300000	16151.000000
11.400000	15912.000000
11.500000	15251.000000
11.600000	15359.000000
11.700000	14987.000000
11.800000	14306.000000
11.900000	13405.000000
12.000000	13063.000000
12.100000	12688.000000
12.200000	12188.000000
12.300000	11675.000000
12.400000	11280.000000
12.500000	10898.000000
12.600000	10293.000000
12.700000	9855.000000
12.800000	9666.000000
12.900000	9458.000000
13.000000	8855.000000
13.100000	8671.000000
13.200000	7993.000000
13.300000	7759.000000
13.400000	7452.000000
13.500000	6725.000000
13.600000	6356.000000
13.700000	5754.000000
13.800000	5444.000000
13.900000	5160.000000
14.000000	4721.000000
14.100000	4335.000000
14.200000	3940.000000
14.300000	3490.000000
14.400000	3118.000000
14.500000	2736.000000
14.600000	2586.000000
14.700000	2192.000000
14.800000	2042.000000
14.900000	1746.000000
15.000000	1556.000000
15.100000	1498.000000
15.200000	1345.000000
15.300000	1204.000000
15.400000	1131.000000
15.500000	1008.000000
15.600000	927.000000
15.700000	854.000000
15.800000	735.000000
15.900000	612.000000
16.000000	592.000000
16.100000	496.000000
16.200000	445.000000
16.300000	422.000000
16.400000	324.000000
16.500000	304.000000
16.600000	259.000000
16.700000	235.000000
16.800000	244.000000
16.900000	224.000000
17.000000	196.000000
17.100000	158.000000
17.200000	153.000000
17.300000	134.000000
17.400000	100.000000
17.500000	106.000000
17.600000	130.000000
17.700000	107.000000
17.800000	81.000000
17.900000	115.000000
18.000000	90.000000
18.100000	87.000000
18.200000	71.000000
18.300000	82.000000
18.400000	60.000000
18.500000	65.000000
18.600000	54.000000
18.700000	55.000000
18.800000	53.000000
18.900000	52.000000
19.000000	53.000000
19.100000	46.000000
19.200000	42.000000
19.300000	52.000000
19.400000	39.000000
19.500000	32.000000
19.600000	39.000000
19.700000	49.000000
19.800000	31.000000
19.900000	27.000000
20.000000	32.000000
20.100000	34.000000
20.200000	33.000000
20.300000	42.000000
20.400000	41.000000
20.500000	20.000000
20.600000	27.000000
20.700000	28.000000
20.800000	27.000000
20.900000	33.000000
21.000000	28.000000
21.100000	35.000000
21.200000	32.000000
21.300000	25.000000
21.400000	29.000000
21.500000	26.000000
21.600000	32.000000
21.700000	25.000000
21.800000	21.000000
21.900000	32.000000
22.000000	24.000000
22.100000	29.000000
22.200000	24.000000
22.300000	20.000000
22.400000	18.000000
22.500000	24.000000
22.600000	28.000000
22.700000	36.000000
22.800000	20.000000
22.900000	18.000000
23.000000	23.000000
23.100000	15.000000
23.200000	20.000000
23.300000	30.000000
23.400000	23.000000
23.500000	22.000000
23.600000	19.000000
23.700000	25.000000
23.800000	23.000000
23.900000	22.000000
24.000000	21.000000
