BE_eV                KE_eV                counts               fix                  counts_smoothed      intensity            error                background          
19.320000            1.900000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.318000            1.902000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.316000            1.904000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.314000            1.906000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.312000            1.908000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.310000            1.910000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.308000            1.912000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.306000            1.914000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.304000            1.916000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.302000            1.918000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.300000            1.920000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.298000            1.922000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.296000            1.924000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.294000            1.926000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.292000            1.928000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.290000            1.930000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.288000            1.932000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.286000            1.934000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.284000            1.936000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.282000            1.938000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.280000            1.940000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.278000            1.942000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.276000            1.944000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.274000            1.946000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.272000            1.948000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.270000            1.950000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.268000            1.952000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.266000            1.954000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.264000            1.956000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.262000            1.958000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.260000            1.960000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
19.258000            1.962000             NaN                  Inf                  NaN                  NaN                  NaN                  0.000000            
